T,P_plus,P_minus,e_plus,e_minus,w_plus,w_minus,s_plus,s_minus
62.8425905008813,239450580.339299,254280433.169687,475453382.812655,433622061.631136,714903963.151955,687902494.800823,11376105.878883,10946437.5892038
63.0271219536256,241559257.457205,256309632.244366,481890574.890745,439929210.781984,723449832.347951,696238843.026351,11478389.1502853,11046654.5431679
63.21165340637,243686865.443795,258357381.797637,488385154.007545,446294079.895708,732072019.45134,704651461.693345,11581282.5696991,11147492.9667766
63.3961848591144,245833516.998397,260423796.715271,494937457.351838,452717005.336646,740770974.350235,713140802.051917,11684787.9095148,11248954.5484525
63.5807163118588,247999324.981276,262508991.999744,501547823.173021,459198329.510631,749547148.154297,721707321.510374,11788906.9511032,11351041.0662821
63.7652477646032,250184403.010176,264613083.387803,508216594.712387,465738434.745648,758400997.722564,730351518.133451,11893641.5181037,11453754.8926077
63.9497792173476,252388864.92549,266736186.91286,514944116.678534,472337719.499138,767332981.604024,739073906.411998,11998993.4465801,11557098.6398641
64.134310670092,254612824.589132,268878418.80239,521730733.848225,478996573.321687,776343558.437358,747874992.124078,12104964.5726711,11661074.7721277
64.3188421228363,256856396.418917,271039896.060872,528576792.756411,485715349.767931,785433189.175328,756755245.828804,12211556.7344089,11765685.1542226
64.5033735755807,259119695.425117,273220735.888658,535482641.811846,492494393.351759,794602337.236963,765715129.240417,12318771.7718438,11870931.5004306
64.6879050283251,261402836.646817,275421055.713979,542448629.514407,499334050.679416,803851466.161224,774755106.393395,12426611.5251242,11976815.5469649
64.8724364810695,263705935.316477,277640973.534736,549475104.197943,506234673.587795,813181039.514421,783875647.122531,12535077.8227057,12083339.0848645
65.0569679338139,266029107.427832,279880607.441614,556562413.542697,513196614.726453,822591520.970529,793077222.168067,12644172.4470116,12190503.9134859
65.2414993865582,268372469.161921,282140075.867586,563710905.068094,520220227.313281,832083374.230015,802360303.180867,12753897.1691392,12298311.8250042
